open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646092800000,43155.00,43600.10,43150.30,43365.50,12967.060,1646094599999,562184500.68038,132628,6697.702,290431222.81151,0
1646094600000,43365.40,43790.00,43290.60,43548.70,11097.423,1646096399999,482567495.68368,100682,5843.026,254145381.05811,0
1646096400000,43548.60,43615.30,43215.10,43278.50,7657.926,1646098199999,332204471.39748,80518,3235.057,140353296.33497,0
1646098200000,43278.50,43429.90,43216.80,43254.10,4472.121,1646099999999,193764407.69899,49974,2138.922,92679490.78569,0
1646100000000,43254.10,43294.70,42954.00,43054.40,9933.296,1646101799999,428279037.24234,92215,4342.178,187225739.42133,0
1646101800000,43054.30,43179.00,42980.00,43148.90,4468.152,1646103599999,192510504.86845,49741,2310.096,99541453.30868,0
1646103600000,43149.40,43156.60,42850.00,43055.90,5651.529,1646105399999,242967444.39560,64380,2601.509,111849143.81381,0
1646105400000,43055.90,43190.00,42979.90,43140.80,4271.408,1646107199999,184035880.63661,48393,2334.941,100619647.74230,0
1646107200000,43140.90,43294.40,43062.20,43224.20,4832.268,1646108999999,208668430.36673,50029,2588.353,111785893.04441,0
1646109000000,43224.20,43401.60,43177.00,43323.50,4867.884,1646110799999,210714517.73684,47304,2589.454,112095289.16792,0
1646110800000,43323.50,43379.40,43158.50,43217.30,3535.876,1646112599999,152916385.80207,42639,1484.804,64223333.15486,0
1646112600000,43217.30,43259.60,43129.10,43196.00,2727.168,1646114399999,117806109.06206,33698,1223.984,52879260.13459,0
1646114400000,43198.00,43352.20,43023.20,43326.70,5498.343,1646116199999,237450363.90579,60811,2866.113,123783805.02992,0
1646116200000,43327.30,43477.80,43225.90,43439.60,5879.966,1646117999999,254994984.51845,63151,3140.433,136215551.07980,0
1646118000000,43439.60,43555.00,43320.00,43400.70,5682.414,1646119799999,246941151.79810,65369,2706.207,117628041.66779,0
1646119800000,43400.80,43479.00,43262.40,43471.70,3982.928,1646121599999,172768889.35670,48490,1950.695,84623063.25179,0
1646121600000,43471.70,43755.00,43280.00,43489.70,8428.889,1646123399999,366392829.82280,96196,4405.069,191567879.53398,0
1646123400000,43489.40,43635.10,43366.20,43478.70,6185.615,1646125199999,268973962.77672,66394,3097.734,134719730.39076,0
1646125200000,43478.40,43481.30,43300.80,43336.80,4673.491,1646126999999,202773746.12156,54750,2226.724,96623111.69741,0
1646127000000,43336.80,43339.70,43115.00,43253.10,6456.891,1646128799999,279136916.69654,75452,2891.038,124995836.82420,0
1646128800000,43253.00,43302.70,42765.40,43091.30,11986.796,1646130599999,515944014.91106,121255,5323.372,229168931.14816,0
1646130600000,43091.30,43582.00,43045.60,43569.90,10583.604,1646132399999,459081493.75824,108121,5932.842,257369133.02194,0
1646132400000,43569.90,44000.00,43450.60,43560.10,14795.457,1646134199999,645336423.03289,141326,7778.186,339434346.42113,0
1646134200000,43560.00,43700.00,43320.60,43599.90,10999.974,1646135999999,478816686.76485,105627,5646.540,245816664.79607,0
1646136000000,43600.00,44528.40,43558.60,44459.30,28415.779,1646137799999,1254106445.81260,272942,15838.421,699053073.17670,0
1646137800000,44458.30,44697.90,44058.00,44609.60,23387.552,1646139599999,1038193961.21320,226270,11277.522,500852191.57508,0
1646139600000,44609.10,44935.00,44458.00,44500.00,26898.095,1646141399999,1201570619.55673,258425,13856.177,619144532.49758,0
1646141400000,44500.00,44650.00,44381.30,44389.50,11352.096,1646143199999,505491732.31186,117486,5400.516,240525509.48870,0
1646143200000,44389.60,44643.90,44299.00,44401.50,8295.108,1646144999999,369085787.61496,94190,3989.712,177555262.51725,0
